race_id,騎手,馬番,着順,体重,体重変化,性,齢,斤量,人気,日付,クラス,芝・ダート,距離,回り,馬場,場id,場名,距離差,日付差,騎手1,斤量1,オッズ1,通過順1,着順1,距離1,クラス1,芝・ダート1,馬場1
2.0231E+11,19,10,4,458,6,1,3,50,9,273,4,0,2600,0,0,9,4,600,21,126,51,69.6,7.25,8,2000,1,0,0
2.0231E+11,119,8,1,442,-2,1,4,53,1,273,4,0,2600,0,0,9,4,800,29,77,56,36.1,10,8,1800,4,0,1
2.0231E+11,37,2,10,496,8,0,3,55,5,273,4,0,2600,0,0,9,4,600,15,130,55,20.1,1,6,2000,1,0,0
2.0231E+11,141,9,6,468,0,0,3,55,8,273,4,0,2600,0,0,9,4,400,28,56,55,162.3,12.25,13,2200,4,0,0
2.0231E+11,148,5,12,442,6,1,3,52,4,273,4,0,2600,0,0,9,4,0,8,130,53,117.6,7.5,3,2600,1,0,1
2.0231E+11,72,7,9,470,-4,0,5,55,12,273,4,0,2600,0,0,9,4,600,43,11,58,401.9,8,12,2000,4,0,0
2.0231E+11,74,11,2,486,-6,2,3,55,3,273,4,0,2600,0,0,9,4,600,91,55,55,7.7,9.5,7,2000,4,0,0
2.0231E+11,43,6,3,470,0,0,3,55,2,273,4,0,2600,0,0,9,4,0,8,128,56,3.6,2.5,8,2600,1,0,1
2.0231E+11,144,4,11,440,-2,0,4,55,10,273,4,0,2600,0,0,9,4,400,127,33,58,158.2,7,6,2200,4,0,0
2.0231E+11,40,12,5,420,-16,2,6,58,7,273,4,0,2600,0,0,9,4,400,28,100,58,155.1,14.75,9,2200,4,0,0
2.0231E+11,108,3,7,458,12,0,3,52,6,273,4,0,2600,0,0,9,4,600,232,128,56,5,3.5,11,2000,1,0,2
2.0231E+11,47,1,8,394,2,1,3,53,11,273,4,0,2600,0,0,9,4,600,28,42,54,101.2,7.75,8,2000,1,0,0
2.0231E+11,69,4,8,448,4,1,2,55,6,273,7,0,1200,0,0,9,4,0,22,60,55,1.7,1,1,1200,1,0,0
2.0231E+11,65,10,1,438,0,0,2,55,5,273,7,0,1200,0,0,9,4,0,50,56,55,1.4,3,1,1200,1,0,1
2.0231E+11,87,5,3,446,4,1,2,55,4,273,7,0,1200,0,0,9,4,0,50,56,55,2.5,2,1,1200,3,0,0
2.0231E+11,19,3,7,474,14,1,2,55,9,273,7,0,1200,0,0,9,4,0,22,16,52,7.3,1,1,1200,3,0,0
2.0231E+11,47,1,10,482,0,1,2,55,7,273,7,0,1200,0,0,9,4,0,8,42,55,3.8,1,1,1200,7,0,0
2.0231E+11,39,2,5,420,-6,1,2,55,8,273,7,0,1200,0,0,9,4,0,22,34,55,3.2,5.5,3,1200,3,0,0
2.0231E+11,146,6,6,476,-2,0,2,55,3,273,7,0,1200,0,0,9,4,0,21,128,55,4.2,3,1,1200,3,0,0
2.0231E+11,74,7,4,518,2,0,2,55,1,273,7,0,1200,0,0,9,4,0,63,64,55,1.4,2,1,1200,3,0,0
2.0231E+11,141,9,2,474,14,0,2,55,2,273,7,0,1200,0,0,9,4,0,84,123,55,1.8,2,1,1200,3,0,1
2.0231E+11,148,8,9,458,-2,0,2,55,10,273,7,0,1200,0,0,9,4,-600,70,87,55,22.5,1,5,1800,3,0,0
2.0231E+11,87,2,11,484,4,0,5,58,13,273,5,0,1200,0,0,9,4,-200,49,123,58,100.1,12,8,1400,5,0,0
2.0231E+11,73,1,9,460,6,2,5,58,10,273,5,0,1200,0,0,9,4,-200,190,101,58,68.9,10.5,14,1400,5,0,0
2.0231E+11,39,9,7,460,-4,1,5,56,8,273,5,0,1200,0,0,9,4,0,14,34,56,90,11.5,4,1200,5,0,0
2.0231E+11,74,4,8,462,20,1,4,56,6,273,5,0,1200,0,0,9,4,0,91,15,56,5.7,5.5,1,1200,4,0,0
2.0231E+11,148,10,14,470,-6,0,4,58,4,273,5,0,1200,0,0,9,4,0,56,78,58,8.1,3,10,1200,5,0,0
2.0231E+11,108,13,17,474,4,1,4,56,14,273,5,0,1200,0,0,9,4,0,78,14,53,21.3,2,12,1200,5,0,0
2.0231E+11,37,11,16,484,8,0,4,58,5,273,5,0,1200,0,0,9,4,0,14,78,58,13.2,6,5,1200,5,0,0
2.0231E+11,151,12,3,458,4,1,4,56,12,273,5,0,1200,0,0,9,4,0,14,117,56,71.7,10.5,7,1200,5,0,0
